Id,Label,timeset,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,harmonicclosnesscentrality,betweenesscentrality
nm0001943,Marisa Berenson,,12,1,0,1,1,0,1,0,0
nm0473228,Hardy Krüger,,12,1,0,1,1,0,1,0,0
nm0515950,Danny Lloyd,,12,1,0,1,1,0,1,0,0
nm0001079,Scatman Crothers,,12,1,0,1,1,0,1,0,0
nm0000546,Matthew Modine,,12,1,0,1,1,0,1,0,0
nm0000388,R. Lee Ermey,,12,1,0,1,1,0,1,0,0
nm0000352,Vincent D'Onofrio,,12,1,0,1,1,0,1,0,0
nm0000284,Adam Baldwin,,12,1,0,1,1,0,1,0,0
nm0000142,Clint Eastwood,,13,0,55,55,0,56,56,1,0
nm0000034,William Holden,,13,1,0,1,1,0,1,0,0
nm0001464,Kay Lenz,,13,1,0,1,1,0,1,0,0
nm0138354,Roger C. Carmel,,13,1,0,1,1,0,1,0,0
nm0244582,Marj Dusay,,13,1,0,1,1,0,1,0,0
nm0893204,Diane Venora,,13,1,0,1,1,0,1,0,0
nm0954677,Michael Zelniker,,13,1,0,1,1,0,1,0,0
nm0942787,Samuel E. Wright,,13,1,0,1,1,0,1,0,0
nm0000576,Sean Penn,,13,1,0,1,1,0,1,0,0
nm0000102,Kevin Bacon,,13,1,0,1,1,0,1,0,0
nm0002536,Emmy Rossum,,13,1,0,1,1,0,1,0,0
nm0000202,Ryan Phillippe,,13,1,0,1,1,0,1,0,0
nm0001608,Barry Pepper,,13,1,0,1,1,0,1,0,0
nm0189200,Joseph Cross,,13,1,0,1,1,0,1,0,0
nm0103038,Jesse Bradford,,13,1,0,1,1,0,1,0,0
nm0632497,Kazunari Ninomiya,,13,1,0,1,1,0,1,0,0
nm0407296,IHARA,,13,1,0,1,1,0,1,0,0
nm1076976,Ryô Kase,,13,1,0,1,1,0,1,0,0
nm0001401,Angelina Jolie,,13,2,0,2,2,0,2,0,0
nm0272173,Colm Feore,,13,1,0,1,1,0,1,0,0
nm1072959,Gattlin Griffith,,13,1,0,1,1,0,1,0,0
nm0000151,Morgan Freeman,,15,2,0,2,2,0,2,0,0
nm0450961,Tony Kgoroge,,13,1,0,1,1,0,1,0,0
nm0595680,Patrick Mofokeng,,13,1,0,1,1,0,1,0,0
nm0208426,Cécile de France,,13,1,0,1,1,0,1,0,0
